ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,917,23,817,20,57
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,2481,156,2251,24,50
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1103,17,991,19,76
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,3448,59,3098,56,235
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,1515,35,1400,27,53
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,1904,26,1767,36,75
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,1080,23,973,29,55
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,2486,63,2302,42,79
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,906,22,840,22,22
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1720,72,1560,27,61
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1495,67,1345,23,60
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,834,42,743,16,33
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,674,28,596,10,40
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,1818,40,1683,22,73
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,2165,31,1990,45,99
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,630,17,573,17,23
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,877,23,796,27,31
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,2073,37,1910,42,84
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,2642,81,2403,50,108
